trial_id,run_id,model_name,task_id,task_family,expected_answer,condition_label,noise_type,noise_size_target,actual_noise_words,actual_noise_chars,raw_response,parsed_answer,is_correct,is_compliant,error_category,latency_ms,response_words,response_chars,distractor_adopted
10ff4411-c48e-4195-8845-c2027f126611,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_016,retrieval,AURORA,similar_1000,similar_irrelevant,1000,1004,5949,QUARRY,QUARRY,False,True,E2,1522.658746000161,1,6,True
2f17c34c-44ae-4805-85d1-04c978e1f9ff,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,arith_003,arithmetic,44,random_4000,random_unrelated,4000,4000,24527,48,48,False,True,E2,1692.220154000097,1,2,False
a2d45df9-f878-4d0a-b5de-43add8a76e9f,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,arith_003,arithmetic,44,similar_4000,similar_irrelevant,4000,4007,26121,48,48,False,True,E2,1976.5940779998346,1,2,False
160f62a7-5df8-4ad4-bad8-93b74013120c,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_006,retrieval,AURORA,similar_4000,similar_irrelevant,4000,4001,24409,QUARRY,QUARRY,False,True,E2,1197.7860090009926,1,6,True
c1623be6-ec90-40a6-bf62-b9249c79c16e,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_012,retrieval,CINDER,similar_250,similar_irrelevant,250,251,1541,SUMMIT,SUMMIT,False,True,E2,844.5568780007306,1,6,True
55d8ef6d-7bcc-4d40-95bd-28d92178b6f0,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_023,retrieval,SOLACE,similar_1000,similar_irrelevant,1000,1008,6163,VECTOR,VECTOR,False,True,E2,1296.0851230000117,1,6,True
905296c1-c4bf-4b96-ab93-f9aef3596111,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_016,retrieval,AURORA,similar_4000,similar_irrelevant,4000,4005,24310,QUARRY,QUARRY,False,True,E2,2152.0037740010594,1,6,True
70c931fb-deeb-4460-9529-dfa786655f79,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,arith_007,arithmetic,35,similar_4000,similar_irrelevant,4000,4006,26500,34,34,False,True,E2,1698.8638220009307,1,2,False
f088c35f-9554-4adc-a513-111bc3fa563c,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_032,retrieval,CINDER,similar_1000,similar_irrelevant,1000,1006,6160,SUMMIT,SUMMIT,False,True,E2,954.056746999413,1,6,True
742c3219-1ea7-4a6c-8395-8c953602161f,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_006,retrieval,AURORA,similar_250,similar_irrelevant,250,255,1528,QUARRY,QUARRY,False,True,E2,954.9080849992606,1,6,True
eaedacc4-983b-4034-9b51-674dbd2a083e,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_042,retrieval,CINDER,similar_1000,similar_irrelevant,1000,1004,6071,SUMMIT,SUMMIT,False,True,E2,2197.5677870013897,1,6,True
e3add85c-cd61-490c-8d8b-711b4104269c,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,arith_009,arithmetic,58,similar_1000,similar_irrelevant,1000,1000,6438,56,56,False,True,E2,1240.3144179988885,1,2,False
5a881f3d-616a-48bd-adc2-da77770371c5,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,arith_010,arithmetic,32,random_1000,random_unrelated,1000,1010,6232,34,34,False,True,E2,1674.5203859991307,1,2,False
e9fb43b7-4f38-43af-88e3-63982b8d65f5,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,arith_010,arithmetic,32,random_250,random_unrelated,250,257,1583,34,34,False,True,E2,1033.6580910006887,1,2,False
fbdf2201-bf1a-4704-881e-10c382e5772e,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_002,retrieval,CINDER,similar_1000,similar_irrelevant,1000,1002,6066,SUMMIT,SUMMIT,False,True,E2,807.6492919990415,1,6,True
24fa7e7b-28c6-409a-b2de-e2e64cab74b9,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_036,retrieval,AURORA,similar_1000,similar_irrelevant,1000,1007,6057,QUARRY,QUARRY,False,True,E2,1320.1870899993082,1,6,True
682ec517-1fb0-46d1-a268-6ae605fa4d69,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_046,retrieval,AURORA,similar_1000,similar_irrelevant,1000,1002,6074,QUARRY,QUARRY,False,True,E2,1054.8348750016885,1,6,True
c1679d07-e190-4154-9c3f-7c41ff5660d6,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_043,retrieval,SOLACE,similar_250,similar_irrelevant,250,250,1540,VECTOR,VECTOR,False,True,E2,895.1150070006406,1,6,True
52e37ae2-45f3-4413-9f70-d00e7d692421,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_022,retrieval,CINDER,similar_1000,similar_irrelevant,1000,1005,5953,SUMMIT,SUMMIT,False,True,E2,1141.2714139987656,1,6,True
ff48d65c-5a11-4ea8-8350-d84a6447c2df,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_043,retrieval,SOLACE,similar_1000,similar_irrelevant,1000,1011,6144,VECTOR,VECTOR,False,True,E2,929.8289979997207,1,6,True
6e484501-01d0-424d-8a3d-6db8847f58e0,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_033,retrieval,SOLACE,similar_250,similar_irrelevant,250,252,1544,VECTOR,VECTOR,False,True,E2,998.3726680002292,1,6,True
3a06cf18-bd88-402b-bb68-edfe608cc893,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_033,retrieval,SOLACE,similar_1000,similar_irrelevant,1000,1009,6057,VECTOR,VECTOR,False,True,E2,2725.000796999666,1,6,True
9aaa5dad-fcc6-444d-8f4b-b6cdc2f0e3d6,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_026,retrieval,AURORA,similar_1000,similar_irrelevant,1000,1009,6164,QUARRY,QUARRY,False,True,E2,967.2917770003551,1,6,True
b4a6262d-a0d4-4d05-ac65-0ddaf43149d0,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_002,retrieval,CINDER,similar_250,similar_irrelevant,250,258,1625,SUMMIT,SUMMIT,False,True,E2,872.1902729994326,1,6,True
